ogc_fid,dn,id,forest_gro,ecoregion_
33960,"800","11",Maple/Beech/Birch Group,Southern Michigan/Northern Indiana Drift Plains
2698862,"920","6",Western Oak Group,Northern Basin and Range
1539080,"260","47",Fir/Spruce/Mountain Hemlock Group,Arizona/New Mexico Plateau
2264892,"910","62",Alder/Maple Group,Puget Lowland
241249,"700","17",Elm/Ash/Cottonwood Group,Ridge and Valley
1323106,"220","38",Ponderosa Pine Group,Idaho Batholith
1914526,"900","59",Aspen/Birch Group,Northeastern Highlands
1831601,"400","57",Oak/Pine Group,Central Great Plains
1434773,"180","41",Pinyon/Juniper Group,Interior Plateau
1535366,"900","46",Aspen/Birch Group,Northwestern Glaciated Plains
1807279,"280","55",Lodgepole Pine Group,Willamette Valley
1697748,"180","50",Pinyon/Juniper Group,Mojave Basin and Range
1609941,"500","49",Oak/Hickory Group,Western Gulf Coastal Plain
1267145,"900","35",Aspen/Birch Group,Columbia Plateau
40334,"700","11",Elm/Ash/Cottonwood Group,Southern Michigan/Northern Indiana Drift Plains
1424861,"180","40",Pinyon/Juniper Group,Atlantic Coastal Pine Barrens
1814080,"260","56",Fir/Spruce/Mountain Hemlock Group,Northwestern Great Plains
1270863,"500","36",Oak/Hickory Group,East Central Texas Plains
2362124,"100","64",White/Red/Jack Pine Group,Middle Atlantic Coastal Plain
981041,"900","21",Aspen/Birch Group,Southeastern Wisconsin Till Plains
1498833,"500","42",Oak/Hickory Group,Southern Texas Plains
1250231,"800","34",Maple/Beech/Birch Group,Northern Minnesota Wetlands
1772801,"220","54",Ponderosa Pine Group,Cross Timbers
1422362,"400","40",Oak/Pine Group,Atlantic Coastal Pine Barrens
143897,"800","15",Maple/Beech/Birch Group,Eastern Corn Belt Plains
3005575,"380","77",Exotic Softwoods Group,Northern Piedmont
1700997,"100","51",White/Red/Jack Pine Group,Driftless Area
2320424,"800","64",Maple/Beech/Birch Group,Middle Atlantic Coastal Plain
2899021,"700","73",Elm/Ash/Cottonwood Group,North Central Appalachians
1770893,"260","53",Fir/Spruce/Mountain Hemlock Group,Snake River Plain
1526940,"220","44",Ponderosa Pine Group,Southern California Mountains
3294949,"160","8",Loblolly/Shortleaf Pine Group,Piedmont
1271438,"180","36",Pinyon/Juniper Group,East Central Texas Plains
97587,"950","14",Other Western Hardwoods Group,Colorado Plateaus
396317,"600","1",Oak/Gum/Cypress Group,Southeastern Plains
1812725,"280","56",Lodgepole Pine Group,Northwestern Great Plains
