ogc_fid,dn,id,forest_gro,ecoregion_
1808386,"920","55",Western Oak Group,Willamette Valley
2718801,"200","70",Douglas-fir Group,Blue Mountains
2357655,"140","64",Longleaf/Slash Pine Group,Middle Atlantic Coastal Plain
3031680,"600","78",Oak/Gum/Cypress Group,Northeastern Coastal Zone
3271373,"920","84",Western Oak Group,Madrean Archipelago
1872397,"220","58",Ponderosa Pine Group,Sierra Nevada
2909975,"990","74",Exotic Hardwoods Group,Southern Florida Coastal Plain
1514603,"950","43",Other Western Hardwoods Group,Cascades
2214015,"500","60",Oak/Hickory Group,Northern Allegheny Plateau
1827999,"950","56",Other Western Hardwoods Group,Northwestern Great Plains
1323517,"950","38",Other Western Hardwoods Group,Idaho Batholith
55937,"700","12",Elm/Ash/Cottonwood Group,Blue Ridge
1126416,"600","30",Oak/Gum/Cypress Group,Mississippi Valley Loess Plains
1250220,"900","34",Aspen/Birch Group,Northern Minnesota Wetlands
3266397,"700","83",Elm/Ash/Cottonwood Group,Lake Agassiz Plain
1872418,"260","58",Fir/Spruce/Mountain Hemlock Group,Sierra Nevada
3295224,"600","8",Oak/Gum/Cypress Group,Piedmont
2899024,"500","73",Oak/Hickory Group,North Central Appalachians
962628,"500","20",Oak/Hickory Group,Southwestern Appalachians
298394,"900","18",Aspen/Birch Group,North Central Hardwood Forests
3266418,"800","83",Maple/Beech/Birch Group,Lake Agassiz Plain
378455,"260","19",Fir/Spruce/Mountain Hemlock Group,Central California Foothills and Coastal Mountains
1527084,"370","44",California Mixed Conifer Group,Southern California Mountains
1098313,"180","27",Pinyon/Juniper Group,Boston Mountains
241288,"400","17",Oak/Pine Group,Ridge and Valley
1516852,"180","43",Pinyon/Juniper Group,Cascades
1001686,"400","23",Oak/Pine Group,Erie Drift Plain
1831594,"500","57",Oak/Hickory Group,Central Great Plains
2279315,"280","63",Lodgepole Pine Group,Coast Range
1038050,"220","24",Ponderosa Pine Group,Interior River Valleys and Hills
1872560,"280","58",Lodgepole Pine Group,Sierra Nevada
1209625,"240","32",Western White Pine Group,Central Basin and Range
1116717,"160","29",Loblolly/Shortleaf Pine Group,Southwestern Tablelands
2237511,"400","61",Oak/Pine Group,Eastern Great Lakes Lowlands
98102,"360","14",Other Western Softwood Group,Colorado Plateaus
1533369,"260","44",Fir/Spruce/Mountain Hemlock Group,Southern California Mountains
3271244,"180","84",Pinyon/Juniper Group,Madrean Archipelago
1025437,"600","24",Oak/Gum/Cypress Group,Interior River Valleys and Hills
2214732,"380","60",Exotic Softwoods Group,Northern Allegheny Plateau
1367007,"700","39",Elm/Ash/Cottonwood Group,Central Appalachians
2910807,"700","74",Elm/Ash/Cottonwood Group,Southern Florida Coastal Plain
3505595,"700","9",Elm/Ash/Cottonwood Group,Wyoming Basin
1098542,"600","27",Oak/Gum/Cypress Group,Boston Mountains
1701053,"700","51",Elm/Ash/Cottonwood Group,Driftless Area
2573071,"280","68",Lodgepole Pine Group,Southern Rockies
2698768,"950","6",Other Western Hardwoods Group,Northern Basin and Range
3245601,"320","81",Western Larch Group,North Cascades
1621450,"700","4",Elm/Ash/Cottonwood Group,Central Irregular Plains
2794970,"220","72",Ponderosa Pine Group,Middle Rockies
3234238,"400","7",Oak/Pine Group,Northern Glaciated Plains
3244662,"300","81",Hemlock/Sitka Spruce Group,North Cascades
981042,"700","21",Elm/Ash/Cottonwood Group,Southeastern Wisconsin Till Plains
1772706,"700","54",Elm/Ash/Cottonwood Group,Cross Timbers
1393254,"950","3",Other Western Hardwoods Group,Arizona/New Mexico Mountains
2488686,"800","66",Maple/Beech/Birch Group,Southern Coastal Plain
3016583,"400","78",Oak/Pine Group,Northeastern Coastal Zone
1322944,"320","38",Western Larch Group,Idaho Batholith
165123,"950","16",Other Western Hardwoods Group,Northern Rockies
1380589,"160","39",Loblolly/Shortleaf Pine Group,Central Appalachians
286957,"140","17",Longleaf/Slash Pine Group,Ridge and Valley
1093161,"500","26",Oak/Hickory Group,Huron/Erie Lake Plains
1292580,"400","37",Oak/Pine Group,Mississippi Alluvial Plain
3232157,"800","7",Maple/Beech/Birch Group,Northern Glaciated Plains
97212,"950","13",Other Western Hardwoods Group,Canadian Rockies
1739890,"260","52",Fir/Spruce/Mountain Hemlock Group,Klamath Mountains/California High North Coast Range
991433,"600","22",Oak/Gum/Cypress Group,Texas Blackland Prairies
3505205,"180","9",Pinyon/Juniper Group,Wyoming Basin
1989268,"900","5",Aspen/Birch Group,Northern Lakes and Forests
1206538,"280","32",Lodgepole Pine Group,Central Basin and Range
1098311,"160","27",Loblolly/Shortleaf Pine Group,Boston Mountains
2719184,"320","70",Western Larch Group,Blue Mountains
1385312,"900","3",Aspen/Birch Group,Arizona/New Mexico Mountains
2320160,"400","64",Oak/Pine Group,Middle Atlantic Coastal Plain
962638,"800","20",Maple/Beech/Birch Group,Southwestern Appalachians
1118425,"200","2",Douglas-fir Group,High Plains
143353,"100","15",White/Red/Jack Pine Group,Eastern Corn Belt Plains
3004867,"100","77",White/Red/Jack Pine Group,Northern Piedmont
1702828,"380","51",Exotic Softwoods Group,Driftless Area
54705,"600","11",Oak/Gum/Cypress Group,Southern Michigan/Northern Indiana Drift Plains
1683994,"160","4",Loblolly/Shortleaf Pine Group,Central Irregular Plains
299534,"400","18",Oak/Pine Group,North Central Hardwood Forests
2407504,"700","65",Elm/Ash/Cottonwood Group,Western Allegheny Plateau
1772182,"360","53",Other Western Softwood Group,Snake River Plain
1831593,"700","57",Elm/Ash/Cottonwood Group,Central Great Plains
1102263,"220","29",Ponderosa Pine Group,Southwestern Tablelands
1610125,"140","49",Longleaf/Slash Pine Group,Western Gulf Coastal Plain
1741063,"240","52",Western White Pine Group,Klamath Mountains/California High North Coast Range
1738127,"370","52",California Mixed Conifer Group,Klamath Mountains/California High North Coast Range
2680564,"240","69",Western White Pine Group,Eastern Cascades Slopes and Foothills
1324626,"900","38",Aspen/Birch Group,Idaho Batholith
1807690,"260","55",Fir/Spruce/Mountain Hemlock Group,Willamette Valley
252995,"180","17",Pinyon/Juniper Group,Ridge and Valley
2912777,"920","75",Western Oak Group,Wasatch and Uinta Mountains
2697512,"220","6",Ponderosa Pine Group,Northern Basin and Range
2311373,"180","63",Pinyon/Juniper Group,Coast Range
1507597,"700","43",Elm/Ash/Cottonwood Group,Cascades
3244691,"260","81",Fir/Spruce/Mountain Hemlock Group,North Cascades
143556,"500","15",Oak/Hickory Group,Eastern Corn Belt Plains
433580,"140","1",Longleaf/Slash Pine Group,Southeastern Plains
1025061,"700","24",Elm/Ash/Cottonwood Group,Interior River Valleys and Hills
2741304,"900","70",Aspen/Birch Group,Blue Mountains
2956716,"800","76",Maple/Beech/Birch Group,Western Corn Belt Plains
1577950,"500","48",Oak/Hickory Group,Acadian Plains and Hills
1780721,"160","54",Loblolly/Shortleaf Pine Group,Cross Timbers
97572,"200","14",Douglas-fir Group,Colorado Plateaus
2320176,"160","64",Loblolly/Shortleaf Pine Group,Middle Atlantic Coastal Plain
3092722,"140","79",Longleaf/Slash Pine Group,South Central Plains
3235407,"400","80",Oak/Pine Group,Flint Hills
